,CVE_SUN,NOM_SUN,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,POB_2018,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,CVEGEO,NOMGEO,mts_built_1975,mts_built_1980,mts_built_1985,mts_built_1990,mts_built_1995,mts_built_2000,mts_built_2005,mts_built_2010,mts_built_2015,mts_built_2020,LONGITUD,LATITUD
0,M01.01,Aguascalientes,1,Aguascalientes,005,Jesús María,,,1014031,547366.0,707516,896600,1078919,1005,Jesús María,22176395,24460544,27585189,31557410,35909913,43089795,47044402,53724466,62362886,71850347,-102.343416,21.961273
1,M02.01,Ensenada,2,Baja California,001,Ensenada,,,542896,259979.0,370730,466814,443807,2001,Ensenada,22611072,24067941,25987118,28201106,28717089,29447334,31100388,33614288,36732703,40159132,-116.595134,31.808944
2,M02.02,Mexicali,2,Baja California,002,Mexicali,,,1065882,601938.0,764602,936826,1049792,2002,Mexicali,35712103,37601694,40050187,42982069,45075065,48065755,51672518,56841666,62919081,68319741,-115.475579,32.641176
3,M02.03,Tijuana,2,Baja California,003,Tecate,,,1914311,798938.0,1288615,1660762,2030963,2003,Tecate,41311126,42726468,44787780,47440950,53703891,63067549,66770429,72587650,80099204,88876979,-116.62655,32.572679
4,M03.01,La Paz,3,Baja California Sur,003,La Paz,,,313204,160970.0,196907,251871,292241,3003,La Paz,21803840,21935121,22086009,22248728,23053448,24170122,25401042,27073924,29028028,30927547,-110.30659,24.148745
5,M04.01,Campeche,4,Campeche,002,Campeche,,,298741,173645.0,216897,259005,294077,4002,Campeche,13250079,13835723,14561029,15398000,16189335,17244619,18037653,19198044,20621750,21976036,-90.539649,19.844814
6,M05.01,La Laguna,5,Coahuila de Zaragoza,035,Torreón,,,1417538,929270.0,1053743,1271493,1434283,5035,Torreón,41844555,45744163,50475367,56228461,61571818,69533010,77310836,88273695,100835931,110396481,-103.453061,25.541753
7,M05.02,Monclova-Frontera,5,Coahuila de Zaragoza,010,Frontera,,,374058,281628.0,302899,339462,374247,5010,Frontera,14570780,16464781,18829130,21696082,22964317,24880845,26101930,27845609,30028050,33258455,-101.449444,26.926111
8,M05.03,Piedras Negras,5,Coahuila de Zaragoza,022,Nava,,,197488,115100.0,151149,180734,209456,5022,Nava,7406232,7943219,8708585,9659479,10369835,11494922,12436565,13828429,15445698,16728577,-100.767554,28.421875
9,M05.04,Saltillo,5,Coahuila de Zaragoza,004,Arteaga,,,935663,486580.0,637273,823128,1031779,5004,Arteaga,6434786,9937246,15912511,25009219,27410602,31902359,36330957,43729200,54492391,73706818,-100.849622,25.450621
