,CVE_SUN,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,CVEGEO,CVE_ENT_x,CVE_MUN_x,NOMGEO,CVE_ENT_y,NOM_ENT,CVE_MUN_y,NOM_MUN,CVE_LOC,NOM_LOC,NOM_SUN,POB_2018,mts_built_up_1975,mts_built_up_1980,mts_built_up_1985,mts_built_up_1990,mts_built_up_1995,mts_built_up_2000,mts_built_up_2005,mts_built_up_2010,mts_built_up_2015,mts_built_up_2020,density_1990,density_2000,density_2010,density_2020,built_up_parsed_1990,built_up_parsed_2000,built_up_parsed_2010,built_up_parsed_2020,poblation_change,surface_change
0,M01.01,547366.0,707516,896600,1078919,1001,01,001,Aguascalientes,1,Aguascalientes,1001,Aguascalientes,,,Aguascalientes,897331,23061571,25495952,28829232,33049937,37792685,45639563,50065559,57514018,67234635,77854005,0.00029891850324479914,0.0003863769831186945,0.0004896364224472965,0.0005892014714146941,0.018048687167955095,0.024923926332119123,0.031408608090664085,0.04251634673365373,1.9711107376051855,2.3556476068320493
1,M02.01,259979.0,370730,466814,443807,2001,02,001,Ensenada,2,Baja California,2001,Ensenada,,,Ensenada,542896,22611072,24067941,25987118,28201106,28717089,29447334,31100388,33614288,36732703,40159132,1.3038841358119006e-05,1.8593385068391906e-05,2.3412328264009652e-05,2.2258448053968672e-05,0.0014143824972690027,0.0014768851193578865,0.001685872199670448,0.0020141186450742575,1.7070878801749372,1.4240268449045934
2,M02.02,601938.0,764602,936826,1049792,2002,02,002,Mexicali,2,Baja California,2002,Mexicali,,,Mexicali,1065882,35712103,37601694,40050187,42982069,45075065,48065755,51672518,56841666,62919081,68319741,4.096599738576809e-05,5.2036394999407004e-05,6.375741599121434e-05,7.144552483411954e-05,0.002925223737808385,0.0032712033360162832,0.0038684640955691497,0.004649625594666482,1.7440201482544715,1.589494005046616
3,M02.03,798938.0,1288615,1660762,2030963,2003,02,003,Tecate,2,Baja California,2003,Tecate,,,Tijuana,115570,46121870,47815633,50273245,53505146,60077909,69880134,73792889,79939758,87900212,97140734,0.00017929429966350889,0.00028918554876710393,0.00037270121047912146,0.00045578015907053987,0.012007399423314191,0.015682205234851962,0.01793974366706851,0.021799914225295588,2.5420783590216014,1.815540023010123
4,M03.01,160970.0,196907,251871,292241,3003,03,003,La Paz,3,Baja California Sur,3003,La Paz,,,La Paz,313204,21803840,21935121,22086009,22248728,23053448,24170122,25401042,27073924,29028028,30927547,1.0118184168608842e-05,1.2377096913016471e-05,1.5832000774875305e-05,1.8369561158094157e-05,0.001398501133262622,0.0015192753045520549,0.0017018012623403055,0.0019440306667658936,1.8154997825681805,1.390081581293097
5,M04.01,173645.0,216897,259005,294077,4002,04,002,Campeche,4,Campeche,4002,Campeche,,,Campeche,298741,13250079,13835723,14561029,15398000,16189335,17244619,18037653,19198044,20621750,21976036,5.357222826937537e-05,6.691615419357143e-05,7.9907138028216e-05,9.0727404605794e-05,0.004750526481567808,0.005320237642813831,0.0059229001439345345,0.006779954603058026,1.6935529384664114,1.4272006754123912
6,M05.01,929270.0,1053743,1271493,1434283,5009,05,009,Francisco I. Madero,5,Coahuila de Zaragoza,5009,Francisco I. Madero,,,La Laguna,61322,41844555,45744163,50475367,56228461,61571818,69533010,77310836,88273695,100835931,110396481,0.0001173025433211404,0.0001330148760928992,0.00016050164399477736,0.00018105076430130663,0.007097766507402104,0.008777211055747294,0.011142863679936546,0.013935441793024582,1.54345131124431,1.9633559061842365
7,M05.02,281628.0,302899,339462,374247,5006,05,006,Castaños,5,Coahuila de Zaragoza,5006,Castaños,,,Monclova-Frontera,28546,14570780,16464781,18829130,21696082,22964317,24880845,26101930,27845609,30028050,33258455,2.4404779839941425e-05,2.6248041418958405e-05,2.9416447846187866e-05,3.243077975470677e-05,0.0018800975208406695,0.00215607661332221,0.0024129914538117358,0.002882047495602707,1.328869998721718,1.5329244699572946
8,M05.03,115100.0,151149,180734,209456,5022,05,022,Nava,5,Coahuila de Zaragoza,5022,Nava,,,Piedras Negras,30726,7406232,7943219,8708585,9659479,10369835,11494922,12436565,13828429,15445698,16728577,8.29603933176797e-05,0.00010894335785902666,0.00013026727824394025,0.0001509691758709637,0.006962243067626998,0.00828517159232015,0.009967088695096509,0.012057422481017292,1.8197741094700262,1.731830153572465
9,M05.04,486580.0,637273,823128,1031779,5004,05,004,Arteaga,5,Coahuila de Zaragoza,5004,Arteaga,,,Saltillo,25362,6434786,9937246,15912511,25009219,27410602,31902359,36330957,43729200,54492391,73706818,3.458598702369598e-05,4.5297208493057275e-05,5.8507736295862605e-05,7.333859818595507e-05,0.0017776491508215936,0.002267611850876096,0.003108260807588899,0.0052390625403960734,2.1204714538205436,2.9471859157217186
