id,CVE_SUN,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,CVEGEO,CVE_ENT_x,CVE_MUN_x,NOMGEO,CVE_ENT_y,NOM_ENT,CVE_MUN_y,NOM_MUN,CVE_LOC,NOM_LOC,NOM_SUN,POB_2018,mts_built_up_2020,mts_built_up_1975,mts_built_up_1980,mts_built_up_1985,mts_built_up_1990,mts_built_up_1995,mts_built_up_2000,mts_built_up_2005,mts_built_up_2010,mts_built_up_2015,density_1990,density_2000,density_2010,density_2020,built_up_parsed_1990,built_up_parsed_2000,built_up_parsed_2010,built_up_parsed_2020,poblation_change,surface_change
0,M01.01,547366.0,707516,896600,1078919,1001,01,001,Aguascalientes,1,Aguascalientes,1001,Aguascalientes,,,Aguascalientes,897331,10270053810,10215261376,10217695757,10221029037,10225249742,10229992490,10237839368,10242265364,10249713823,10259434440,0.00029891850324479914,0.0003863769831186945,0.0004896364224472965,0.0005892014714146941,5.584044950148363,5.590920189312527,5.597404871071072,5.608512609714062,1.9711107376051855,1.0043817089196334
1,M02.01,259979.0,370730,466814,443807,2001,02,001,Ensenada,2,Baja California,2001,Ensenada,,,Ensenada,542896,674247724312,674230176252,674231633121,674233552298,674235766286,674236282269,674237012514,674238665568,674241179468,674244297883,1.3038841358119006e-05,1.8593385068391906e-05,2.3412328264009652e-05,2.2258448053968672e-05,33.81524351802629,33.81530602064838,33.81551500772869,33.8158432541741,1.7070878801749372,1.000017735674371
2,M02.02,601938.0,764602,936826,1049792,2002,02,002,Mexicali,2,Baja California,2002,Mexicali,,,Mexicali,1065882,291514523181,291481915543,291483805134,291486253627,291489185509,291491278505,291494269195,291497875958,291503045106,291509122521,4.096599738576809e-05,5.2036394999407004e-05,6.375741599121434e-05,7.144552483411954e-05,19.83783248696936,19.83817846656757,19.83877572732712,19.83955688882622,1.7440201482544715,1.0000869249126885
3,M02.03,798938.0,1288615,1660762,2030963,2003,02,003,Tecate,2,Baja California,2003,Tecate,,,Tijuana,115570,30060135944,30009117080,30010810843,30013268455,30016500356,30023073119,30032875344,30036788099,30042934968,30050895422,0.00017929429966350889,0.00028918554876710393,0.00037270121047912146,0.00045578015907053987,6.736176536450244,6.739851342261781,6.742108880693999,6.745969051252225,2.5420783590216014,1.001453720036729
4,M03.01,160970.0,196907,251871,292241,3003,03,003,La Paz,3,Baja California Sur,3003,La Paz,,,La Paz,313204,170579342617,170570218910,170570350191,170570501079,170570663798,170571468518,170572585192,170573816112,170575488994,170577443098,1.0118184168608842e-05,1.2377096913016471e-05,1.5832000774875305e-05,1.8369561158094157e-05,10.721658632478256,10.721779406649546,10.721961932607334,10.72220416201176,1.8154997825681805,1.000050881076539
5,M04.01,173645.0,216897,259005,294077,4002,04,002,Campeche,4,Campeche,4002,Campeche,,,Campeche,298741,116970363166,116961637209,116962222853,116962948159,116963785130,116964576465,116965631749,116966424783,116967585174,116969008880,5.357222826937537e-05,6.691615419357143e-05,7.9907138028216e-05,9.0727404605794e-05,36.08517720771996,36.085746918881206,36.08634958138233,36.087206635841454,1.6935529384664114,1.0000562399377952
6,M05.01,929270.0,1053743,1271493,1434283,5009,05,009,Francisco I. Madero,5,Coahuila de Zaragoza,5009,Francisco I. Madero,,,La Laguna,61322,186604066866,186535514940,186539414548,186544145752,186549898846,186555242203,186563203395,186570981221,186581944080,186594506316,0.0001173025433211404,0.0001330148760928992,0.00016050164399477736,0.00018105076430130663,23.548352568077387,23.55003201262573,23.55239766524992,23.55519024336301,1.54345131124431,1.0002903674584391
7,M05.02,281628.0,302899,339462,374247,5006,05,006,Castaños,5,Coahuila de Zaragoza,5006,Castaños,,,Monclova-Frontera,28546,101181943505,101163255830,101165149831,101167514180,101170381132,101171649367,101173565895,101174786980,101176530659,101178713100,2.4404779839941425e-05,2.6248041418958405e-05,2.9416447846187866e-05,3.243077975470677e-05,8.767029122989987,8.767305102082469,8.767562016922959,8.76803107296475,1.328869998721718,1.0001142861465049
8,M05.03,115100.0,151149,180734,209456,5022,05,022,Nava,5,Coahuila de Zaragoza,5022,Nava,,,Piedras Negras,30726,13898679952,13889357607,13889894594,13890659960,13891610854,13892321210,13893446297,13894387940,13895779804,13897397073,8.29603933176797e-05,0.00010894335785902666,0.00013026727824394025,0.0001509691758709637,10.012628151728832,10.013951080253523,10.0156329973563,10.017723331142221,1.8197741094700262,1.0005088753258564
9,M05.04,486580.0,637273,823128,1031779,5004,05,004,Arteaga,5,Coahuila de Zaragoza,5004,Arteaga,,,Saltillo,25362,129448644043,129381372011,129384874471,129390849736,129399946444,129402347827,129406839584,129411268182,129418666425,129429429616,3.458598702369598e-05,4.5297208493057275e-05,5.8507736295862605e-05,7.333859818595507e-05,9.197716446584609,9.198206409284664,9.199047058241376,9.201177859974184,2.1204714538205436,1.0003763339965606
10,M06.01,211733.0,275677,334240,380575,6002,06,002,Colima,6,Colima,6002,Colima,,,Colima-Villa de Álvarez,168040,17707639818,17693066249,17693290610,17693592407,17693975761,17696128773,17699125920,17701001721,17703446660,17706109540,9.207148727141483e-05,0.00011987735212046221,0.0001453433045656449,0.00016549194631124435,7.694174569196271,7.6964141010539135,7.69829296244025,7.700116345160109,1.7974288372620233,1.000772243456449
11,M06.02,110481.0,127863,141421,143931,6001,06,001,Armería,6,Colima,6001,Armería,,,Tecomán,33168,701551713286,701545647289,701545679697,701545725585,701545785611,701547119688,701548961581,701549615530,701550440879,701551258842,8.160361044282121e-05,9.444232440012716e-05,0.0001044565508316744,0.000106310490081061,518.1766004725067,518.1789463113265,518.1800389522125,518.1809787790166,1.3027669916094171,1.0000084494485202
12,M07.01,222405.0,271674,320451,353706,7089,07,089,Tapachula,7,Chiapas,7089,Tapachula,,,Tapachula,369198,13993202715,13976675304,13977712954,13979079537,13980756501,13982774711,13985948900,13987229614,13989227230,13991495627,0.0002255934969495057,0.0002755688392358985,0.00032504512799157414,0.00035877688645498916,14.181190841303591,14.186457680843922,14.189783010440173,14.193815489760425,1.5903689215620151,1.000890238950883
