,CVE_ENT_x,NOM_ENT,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018,CVEGEO,P_TOTAL_1990,P_TOTAL_2000,P_TOTAL_2010,P_TOTAL_2020,LONGITUD,LATITUD,CVE_MUN,NOMGEO
0,1,Aguascalientes,Jesús María,,,M01.01,Aguascalientes,116700,1005,41092.0,64097,99590,129929,102.34341638888888,21.961272777777776,005,Jesús María
1,1,Aguascalientes,Aguascalientes,,,M01.01,Aguascalientes,897331,1001,506274.0,643419,797010,948990,102.29604666666667,21.87982277777778,001,Aguascalientes
2,2,Baja California,Tecate,,,M02.03,Tijuana,115570,2003,51557.0,77795,101079,108440,116.62655027777777,32.572678888888895,003,Tecate
3,2,Baja California,Tijuana,,,M02.03,Tijuana,1798741,2004,747381.0,1210820,1559683,1922523,117.01891333333333,32.53246083333333,004,Tijuana
4,2,Baja California,Mexicali,,,M02.02,Mexicali,1065882,2002,601938.0,764602,936826,1049792,115.47557888888889,32.641175833333335,002,Mexicali
5,2,Baja California,Ensenada,,,M02.01,Ensenada,542896,2001,259979.0,370730,466814,443807,116.59513388888888,31.80894388888889,001,Ensenada
6,3,Baja California Sur,La Paz,,,M03.01,La Paz,313204,3003,160970.0,196907,251871,292241,110.30659,24.148744999999998,003,La Paz
7,4,Campeche,Campeche,,,M04.01,Campeche,298741,4002,173645.0,216897,259005,294077,90.53964916666666,19.844814166666666,002,Campeche
8,5,Coahuila de Zaragoza,Torreón,,,M05.01,La Laguna,716672,5035,464825.0,529512,639629,720848,103.45306055555555,25.541753333333336,035,Torreón
9,5,Coahuila de Zaragoza,Nava,,,M05.03,Piedras Negras,30726,5022,16915.0,23019,27928,33129,100.76755361111111,28.421874722222224,022,Nava
10,5,Coahuila de Zaragoza,Frontera,,,M05.02,Monclova-Frontera,82482,5010,61450.0,66579,75215,82409,101.44944444444445,26.926111111111112,010,Frontera
11,5,Coahuila de Zaragoza,Francisco I. Madero,,,M05.01,La Laguna,61322,5009,50981.0,46452,55676,59035,103.27305555555556,25.775,009,Francisco I. Madero
12,5,Coahuila de Zaragoza,Matamoros,,,M05.01,La Laguna,117349,5017,86398.0,92029,107160,118337,103.23038361111111,25.52813611111111,017,Matamoros
13,5,Coahuila de Zaragoza,San Buenaventura,,,M05.02,Monclova-Frontera,24927,5031,20216.0,20046,22149,24759,101.5500286111111,27.060257222222223,031,San Buenaventura
14,5,Coahuila de Zaragoza,Piedras Negras,,,M05.03,Piedras Negras,166762,5025,98185.0,128130,152806,176327,100.5284413888889,28.708093055555555,025,Piedras Negras
15,5,Coahuila de Zaragoza,Castaños,,,M05.02,Monclova-Frontera,28546,5006,21356.0,22530,25892,29128,101.43055555555556,26.78527777777778,006,Castaños
16,5,Coahuila de Zaragoza,Arteaga,,,M05.04,Saltillo,25362,5004,17414.0,19374,22544,29578,100.8496225,25.450620555555556,004,Arteaga
17,5,Coahuila de Zaragoza,Monclova,,,M05.02,Monclova-Frontera,238103,5018,178606.0,193744,216206,237951,101.41722444444444,26.90124222222222,018,Monclova
18,5,Coahuila de Zaragoza,Ramos Arizpe,,,M05.04,Saltillo,92859,5027,28246.0,39853,75461,122243,100.95078194444444,25.543233611111113,027,Ramos Arizpe
19,5,Coahuila de Zaragoza,Saltillo,,,M05.04,Saltillo,817442,5030,440920.0,578046,725123,879958,100.99972111111111,25.421664722222225,030,Saltillo
20,6,Colima,Villa de Álvarez,,,M06.01,Colima-Villa de Álvarez,145486,6010,37842.0,80808,119956,149762,103.73675861111111,19.26477638888889,010,Villa de Álvarez
21,6,Colima,Cuauhtémoc,,,M06.01,Colima-Villa de Álvarez,29726,6005,24458.0,26771,27107,31267,103.60186055555555,19.328774444444445,005,Cuauhtémoc
22,6,Colima,Colima,,,M06.01,Colima-Villa de Álvarez,168040,6002,116505.0,129958,146904,157048,103.72811888888889,19.242922222222223,002,Colima
23,6,Colima,Comala,,,M06.01,Colima-Villa de Álvarez,23164,6003,16909.0,19384,20888,21661,103.75880111111111,19.32319861111111,003,Comala
24,6,Colima,Armería,,,M06.02,Tecomán,33168,6001,27782.0,28574,28695,27626,103.96499722222222,18.93707277777778,001,Armería
25,6,Colima,Coquimatlán,,,M06.01,Colima-Villa de Álvarez,22202,6004,16019.0,18756,19385,20837,103.81091694444444,19.20141,004,Coquimatlán
26,6,Colima,Tecomán,,,M06.02,Tecomán,131373,6009,82699.0,99289,112726,116305,103.87378888888888,18.910604166666666,009,Tecomán
27,7,Chiapas,Berriozábal,,,M07.02,Tuxtla Gutiérrez,52744,7012,22170.0,28719,43179,64632,93.27327138888889,16.800320833333334,012,Berriozábal
28,7,Chiapas,San Fernando,,,M07.02,Tuxtla Gutiérrez,37340,7079,22388.0,26436,33060,41793,93.20628472222222,16.871711944444446,079,San Fernando
29,7,Chiapas,Tapachula,,,M07.01,Tapachula,369198,7089,222405.0,271674,320451,353706,92.26432,14.911071388888889,089,Tapachula
30,7,Chiapas,Tuxtla Gutiérrez,,,M07.02,Tuxtla Gutiérrez,635877,7101,295608.0,434143,553374,604147,93.11519166666666,16.753972222222224,101,Tuxtla Gutiérrez
31,7,Chiapas,Suchiapa,,,M07.02,Tuxtla Gutiérrez,24269,7086,12293.0,15890,21045,25627,93.10479388888888,16.621958055555556,086,Suchiapa
32,7,Chiapas,Chiapa de Corzo,,,M07.02,Tuxtla Gutiérrez,103288,7027,45143.0,60620,87603,112075,93.01595916666666,16.707958055555554,027,Chiapa de Corzo
33,8,Chihuahua,Aldama,,,M08.01,Chihuahua,25755,8002,17169.0,19378,22302,26047,105.9112925,28.838380555555556,002,Aldama
34,8,Chihuahua,Hidalgo del Parral,,,M08.03,Hidalgo del Parral,119343,8032,90647.0,100821,107061,116662,105.66714333333334,26.92208777777778,032,Hidalgo del Parral
35,8,Chihuahua,Chihuahua,,,M08.01,Chihuahua,938713,8019,530783.0,671790,819543,937674,106.07630666666667,28.63679388888889,019,Chihuahua
36,8,Chihuahua,Delicias,,,M08.02,Delicias,157163,8021,104014.0,116426,137935,150506,105.47104666666667,28.192948055555554,021,Delicias
37,8,Chihuahua,Aquiles Serdán,,,M08.01,Chihuahua,15095,8004,3916.0,5327,10688,24344,105.88747388888889,28.594503333333332,004,Aquiles Serdán
38,8,Chihuahua,Meoqui,,,M08.02,Delicias,48927,8045,34995.0,40018,43833,44853,105.48029111111111,28.267796666666666,045,Meoqui
39,8,Chihuahua,San Francisco del Oro,,,M08.03,Hidalgo del Parral,5052,8059,9486.0,6054,4753,5004,105.85008027777778,26.858994444444445,059,San Francisco del Oro
